tree_id,species,tree_height_m,tree_dbh_mm,sensor_height,location,sink_logger,wood_density,elasticity_kpsi,breaking_strain,breaking_stress_psi,genus,genus_wd,risk_at_37,fit_type,num_hours_data,tree_dbh_m,slenderness,ID,dsm,dtm,surrounding_dsm,surrounding_dtm,buffer_type,buffer_width,surroundings_added,dtm_sink_mean,surrounding_dtm_sink_mean,surrounding_dsm_sink_mean,tree_height_m_plus_dtm,exposure_dsm_field
s54,Jacaranda,27.1,369,1.7,Fairchild_South,518,0.35,1160,0.00395,1980,Jacaranda,Jacaranda (0.35),0.7343842613533278,squared through origin,595,0.369,73.44173441734418,25,78.37297877859562,61.19503430238704,78.62913022098391,58.16849854099911,circular,50,0,55.86320337660135,53.49092563965887,73.14905342720738,88.29503430238705,9.665904081403141
s54,Jacaranda,27.1,369,1.7,Fairchild_South,518,0.35,1160,0.00395,1980,Jacaranda,Jacaranda (0.35),0.7343842613533278,squared through origin,595,0.369,73.44173441734418,25,78.37297877859562,61.19503430238704,96.10998397556864,67.70836646728516,triangular,50,0,55.86320337660135,60.017428988651616,83.17693736352724,88.29503430238705,-7.814949673181587
s56,Dypterix,31,862,2.6,Fairchild_South,518,0.85,2690,0.00717,9020,Dypterix,Dypterix (0.85),0.5023757749950575,squared through origin,446,0.862,35.96287703016241,27,85.54976935753456,50.41769919762245,75.20141158736115,54.541332712784026,circular,50,0,55.86320337660135,53.49092563965887,73.14905342720738,81.41769919762245,6.216287610261304
s56,Dypterix,31,862,2.6,Fairchild_South,518,0.85,2690,0.00717,9020,Dypterix,Dypterix (0.85),0.5023757749950575,squared through origin,446,0.862,35.96287703016241,27,85.54976935753456,50.41769919762245,83.18881797640223,59.01695704142253,triangular,50,0,55.86320337660135,60.017428988651616,83.17693736352724,81.41769919762245,-1.7711187787797797
s58,Guyacan,35.5,810,1.6,Fairchild_South,518,0.92,2920,0.00773,10350,Handroanthus,Handroanthus (0.92),0.7515934693456519,squared through origin,548,0.81,43.82716049382716,26,85.44671000819052,54.17293260097504,74.45972038250525,53.47951241493865,circular,50,0,55.86320337660135,53.49092563965887,73.14905342720738,89.67293260097503,15.213212218469778
s58,Guyacan,35.5,810,1.6,Fairchild_South,518,0.92,2920,0.00773,10350,Handroanthus,Handroanthus (0.92),0.7515934693456519,squared through origin,548,0.81,43.82716049382716,26,85.44671000819052,54.17293260097504,82.7065904968909,56.51961751098633,triangular,50,0,55.86320337660135,60.017428988651616,83.17693736352724,89.67293260097503,6.966342104084134
s60,Virola,20.7,505,0.8,Fausto,511,0.44,1640,0.00341,2390,Virola,Virola (0.44),0.08063566542031193,squared through origin,700,0.505,40.99009900990099,101,113.96861139933269,81.84415054321289,109.38438307257952,80.72474127399678,circular,50,0,88.70826850575793,85.31618243187421,111.69085394640031,102.5441505432129,-6.840232529366631
s60,Virola,20.7,505,0.8,Fausto,511,0.44,1640,0.00341,2390,Virola,Virola (0.44),0.08063566542031193,squared through origin,700,0.505,40.99009900990099,101,113.96861139933269,81.84415054321289,116.22252623523295,86.42017712402344,triangular,50,0,88.70826850575793,87.52764955701763,110.00591662059522,102.5441505432129,-13.678375692020055
s62,Anacardium,31.7,932,1.3,Fausto,511,0.41,1060,0.00502,2460,Anacardium,Anacardium (0.41),1.5654772709046834,squared through origin,149,0.932,34.012875536480685,102,121.38982173374721,87.29083660670689,111.66772573682724,84.7673740657552,circular,50,0,88.70826850575793,85.31618243187421,111.69085394640031,118.99083660670689,7.323110869879656
s62,Anacardium,31.7,932,1.3,Fausto,511,0.41,1060,0.00502,2460,Anacardium,Anacardium (0.41),1.5654772709046834,squared through origin,149,0.932,34.012875536480685,102,121.38982173374721,87.29083660670689,108.10551003452285,86.68564255981445,triangular,50,0,88.70826850575793,87.52764955701763,110.00591662059522,118.99083660670689,10.885326572184042
s70,Anacardium,33.5,1123,1.1,Fausto,511,0.41,1060,0.00502,2460,Anacardium,Anacardium (0.41),0.7401213689157794,squared through origin,26,1.123,29.830810329474623,103,122.27923192232446,96.98981836735399,114.02045302979415,90.45643195587064,circular,50,0,88.70826850575793,85.31618243187421,111.69085394640031,130.489818367354,16.469365337559836
s70,Anacardium,33.5,1123,1.1,Fausto,511,0.41,1060,0.00502,2460,Anacardium,Anacardium (0.41),0.7401213689157794,squared through origin,26,1.123,29.830810329474623,103,122.27923192232446,96.98981836735399,105.68971359202983,89.477128987215,triangular,50,0,88.70826850575793,87.52764955701763,110.00591662059522,130.489818367354,24.800104775324158
s98,Anacardium,32.5,1380,1.4,Fairchild_South,523,0.41,1060,0.00502,2460,Anacardium,Anacardium (0.41),0.5291286497911001,squared through origin,611,1.38,23.55072463768116,35,78.9968129217487,47.287646269412846,69.06395305355528,46.83525931436282,circular,50,0,50.23914979781703,50.14819545603735,76.09324200413255,79.78764626941285,10.723693215857566
s98,Anacardium,32.5,1380,1.4,Fairchild_South,523,0.41,1060,0.00502,2460,Anacardium,Anacardium (0.41),0.5291286497911001,squared through origin,611,1.38,23.55072463768116,35,78.9968129217487,47.287646269412846,82.55709657789785,55.30891063316196,triangular,50,0,50.23914979781703,56.155726273102886,83.54755457281313,79.78764626941285,-2.7694503084850055
s100,Virola,28.3,438,1.4,Fairchild,527,0.44,1640,0.00341,2390,Virola,Virola (0.44),6.11443155875965,squared through origin,1451,0.438,64.61187214611873,66,115.87181784889914,84.74295358096852,108.67393938870353,83.43097554748014,circular,50,0,90.4773143704883,86.71484485425097,110.50391070373718,113.04295358096851,4.369014192264984
s100,Virola,28.3,438,1.4,Fairchild,527,0.44,1640,0.00341,2390,Virola,Virola (0.44),6.11443155875965,squared through origin,1451,0.438,64.61187214611873,66,115.87181784889914,84.74295358096852,100.9097115504436,75.3861190185547,triangular,50,0,90.4773143704883,80.19576969726164,107.83511991724328,113.04295358096851,12.133242030524912
s102,Dypterix,32.5,467,2.7,Fairchild,527,0.85,2690,0.00717,9020,Dypterix,Dypterix (0.85),2.5403536150810546,squared through origin,1428,0.467,69.593147751606,68,122.63071132005508,93.5698286878514,111.50209521258734,87.94792923753279,circular,50,0,90.4773143704883,86.71484485425097,110.50391070373718,126.0698286878514,14.567733475264063
s102,Dypterix,32.5,467,2.7,Fairchild,527,0.85,2690,0.00717,9020,Dypterix,Dypterix (0.85),2.5403536150810546,squared through origin,1428,0.467,69.593147751606,68,122.63071132005508,93.5698286878514,112.21425601806641,80.26444838256836,triangular,50,0,90.4773143704883,80.19576969726164,107.83511991724328,126.0698286878514,13.85557266978499
s104,Guyacan,32.1,606,1.4,Fairchild,517,0.92,2920,0.00773,10350,Handroanthus,Handroanthus (0.92),0.6047432779569364,squared through origin,861,0.606,52.97029702970298,42,113.21921402148986,80.24962607394444,101.84886639849503,76.7379477392279,circular,50,0,74.39489929000227,75.1846360295462,101.48401936593726,112.34962607394445,10.500759675449416
s104,Guyacan,32.1,606,1.4,Fairchild,517,0.92,2920,0.00773,10350,Handroanthus,Handroanthus (0.92),0.6047432779569364,squared through origin,861,0.606,52.97029702970298,42,113.21921402148986,80.24962607394444,95.21711602553823,73.17647410490075,triangular,50,0,74.39489929000227,64.6737562967289,90.04488153378047,112.34962607394445,17.132510048406218
